year,price,mileage
2015,17.984,157.247
2021,29.999,60.449
2023,34.3,27.516
2022,38.5,21.053
2013,13.3,155.961
2016,20.5,85.679
2019,26.999,90.246
2010,10.35,127.934
2023,36.977,32.704
2013,14.99,164.221
2023,31.989,33.206
2021,40.97,19.705
2022,35.5,58.19
2023,33.998,49.005
2023,41.69,32.011
2019,27.098,100.003
2024,44.288,12.524
2016,19,84.547
2021,32.992,37.179
2006,7.5,191.96
2020,32,17.999
2019,17.196,244.247
2023,38.648,35.391
2022,36.697,59.472
2012,14.499,119.231
2013,19.49,122.137
2022,50.337,29.949
2010,12.988,137.499
2017,27.338,83.765
2018,28.995,63.524
2019,25.788,95.045
2022,38.695,51.186
2013,15.65,123.222
2013,14.995,145.702
2021,29.473,77.376
2011,12.488,155.583
2006,6.683,186.026
2020,35.786,31.501
2021,35.256,42.619
2020,32.998,28.35
2022,37.099,54.84
2019,25.215,85.834
2022,39,20.566
2022,36.899,48.456
2022,41.595,20.247
2018,26.95,99.162
2017,29.095,71.006
2016,20,83.729
2022,28.789,42.946
2023,37.5,20.186
2022,34.397,47.528
2015,25.89,51.518
2020,32.999,16.325
2019,26.685,77.206
2016,17.999,150.739
2014,14.299,161.846
2021,29.988,45.587
2023,35.995,22.758
2015,20.79,121.239
2016,23.999,74.401
2021,36.493,19.261
2009,9.598,237.223
2021,28.487,73.57
2018,27.147,91.922
2012,18.29,125.772
2020,33.989,59.527
2021,31.899,52.727
2012,11.999,165.629
2016,25.988,108.311
2007,8.988,123.877
2004,5.999,196.652
2008,10.995,168.064
2008,8.999,139.898
2022,41.99,29.02
2013,29.99,42.133
2018,31.299,49.108
2021,27.99,69.963
2018,24.988,88.669
2019,30.99,40.989
2015,16.45,123
2023,38.418,32.341
2015,21.788,90.783
2007,5.549,195.827
2017,24.498,97.739
2022,35.99,33.01
2017,23.475,98.005
2021,38.995,62.252
2014,19.455,124.456
2022,35.996,49.7
2022,40.499,30.392
2008,6.988,230.626
2017,26.882,77.472
2023,48.798,9.779
2015,17.99,150.475
2022,35.791,60.37
2014,18,119.827
2022,29.109,45.809
2019,28.99,96.449
2022,29.769,57.474
2018,25.477,104.114
2017,19.995,158.232
2021,35.798,41.952
2022,41.687,52.902
2021,29.788,63.851
2015,16.96,172.03
2021,44.279,24.493
2017,26.49,102.047
2023,39,49.277
2021,37.797,35.541
2022,32.648,31.042
2016,18.42,125.224
2008,8.45,172.83
2023,42.999,18.862
2022,47.798,60.257
2013,19.999,72.38
2019,29.9,58.584
2019,31.498,61.318
2023,51.79,34.62
2021,35.487,33.269
2019,24.995,40.604
2021,35.6,47.132
2022,29.343,55.745
2012,13.999,205.211
2013,18.99,112.039
2016,23.79,88.369
2017,24.999,82.314
2021,39,39.569
2022,31.666,52.591
2007,8.995,113.552
2019,31.8,45.186
2013,18.189,114.707
2019,31.699,43.471
2019,34.218,29.141
2022,40.909,23.739
2005,4,246.849
2023,39.94,38.186
2021,32.999,62.075
2022,40,22.673
2021,31.788,93.148
2014,16.59,140.629
2016,20.92,113.178
2009,14.989,113.6
2022,34.499,57.855
2021,30.126,61.84
2019,23,153.012
2023,34.85,23.077
2019,28.599,100.084
2018,26,84.032
2017,23.988,107.821
2001,6.499,247.73
2022,40.99,32.895
2021,32.297,70.839
2011,12.588,142.609
2021,37.999,23.979
2011,13.488,129.811
2018,29.699,55.891
2023,33.999,44.188
2022,40.56,51.921
2018,27.8,95.1
2022,42.891,43.076
2008,10.998,140.817
2021,34.999,54.937
2022,31.148,46.066
2022,30.99,39.546
2021,31.998,94.417
2021,29.691,66.94
2008,8.698,141.968
2015,15.592,210.471
2018,26.999,91.916
2023,32.75,31.933
2017,25.999,99.858
2022,37.5,35.025
2022,40.395,22.626
2021,36.3,30.265
2019,28.836,97.174
2011,9.898,136.521
2021,29.999,58.293
2008,5.999,267.734
2016,19.163,132.742
2018,32.898,61.518
2022,35.148,58.471
2022,34.5,13.42
2019,30.844,66.169
2022,35.891,60.533
2024,39,23.792
2021,27.696,35.163
2012,16.49,119.326
2018,26.295,92.284
2023,43.584,30.276
2021,43.69,31.443
2023,48.29,17.954
2015,17.995,145.099
2023,46.49,8.067
2015,17.999,127.534
2024,51.6,9.632
2023,42.5,10.973
2016,21.995,55.332
2013,18.95,106.822
2019,22.988,115.011
2019,30.729,68.869
2021,30.4,59.984
2011,9.499,223.546
2022,36.148,53.163
2022,34,50.617
2012,16.998,121.991
2021,31.9,64.251
2015,23.487,106.474
2016,19.257,128.999
2021,41.98,33.597
2017,21.49,166.645
2022,30,44.56
2022,36.598,59.424
